"country","capital","type"
"New Zealand","Wellington","countryCapital"
"Nicaragua","Managua","countryCapital"
"Bangladesh","Dhaka","countryCapital"
"Barbados","Bridgetown","countryCapital"
"Belarus","Minsk","countryCapital"
"Belgium","Brussels","countryCapital"
"Belize","Belmopan","countryCapital"
"Benin","Porto-Novo","countryCapital"
"Bermuda","Hamilton","countryCapital"
"Bhutan","Thimphu","countryCapital"
"Bolivia","Sucre","countryCapital"
"Bolivia","La Paz","countryCapital"
"Bosnia and Herzegovina","Sarajevo","countryCapital"
"Botswana","Gaborone","countryCapital"
"Brazil","Brasília","countryCapital"
